Periodicity;Year;Quarter;Month;Indicator;Value in Different Units;Date;Date_Object
Annually;2021;;;Total POS :  Sales (In Thousand Riyals);473258165.579639;2021;2021-01-01
Annually;2024;;;Total POS :  Sales (In Thousand Riyals);668184480.829145;2024;2024-01-01
Annually;1996;;;Total POS :  Number of Transactions;6834075.0;1996;1996-01-01
Annually;2001;;;Total POS :  Number of Transactions;23962839.0;2001;2001-01-01
Annually;2002;;;Total POS :  Number of Transactions;33203974.0;2002;2002-01-01
Annually;2010;;;Total POS :  Number of Transactions;151183608.0;2010;2010-01-01
Annually;2018;;;Total POS :  Number of Transactions;1031518190.0;2018;2018-01-01
Annually;2021;;;Total POS :  Number of Transactions;5171154926.0;2021;2021-01-01
Annually;2022;;;Total POS :  Number of Transactions;7261504522.0;2022;2022-01-01
Annually;2025;;;Total POS :  Number of Transactions;11546271820.0;2025;2025-01-01
Annually;2005;;;Total POS :  Number of Points of Sale Terminals;44253.0;2005;2005-01-01
Annually;2012;;;Total POS :  Number of Points of Sale Terminals;92538.0;2012;2012-01-01
Annually;2016;;;Total POS :  Number of Points of Sale Terminals;267827.0;2016;2016-01-01
Annually;2022;;;Total POS :  Number of Points of Sale Terminals;1438121.0;2022;2022-01-01
Annually;2025;;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;6268893524.0;2025;2025-01-01
Annually;2022;;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;3946904340.0;2022;2022-01-01
Annually;2025;;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;4808972761.0;2025;2025-01-01
Annually;2022;;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;186421698.816164;2022;2022-01-01
Annually;2023;;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;222558099.933329;2023;2023-01-01
Annually;2019;;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;85072311.239;2019;2019-01-01
Annually;2023;;;E-Commerce Transactions Using Mada Cards : Number of Transactions;873742893.0;2023;2023-01-01
Annually;2025;;;E-Commerce Transactions Using Mada Cards : Number of Transactions;1770786311.0;2025;2025-01-01
Quarterly;1998;Q3;;Total POS :  Sales (In Thousand Riyals);1284303.0;Q3 1998;1998-07-01
Quarterly;1998;Q4;;Total POS :  Sales (In Thousand Riyals);1329359.0;Q4 1998;1998-10-01
Quarterly;1999;Q1;;Total POS :  Sales (In Thousand Riyals);1439004.0;Q1 1999;1999-01-01
Quarterly;2002;Q4;;Total POS :  Sales (In Thousand Riyals);4249284.0;Q4 2002;2002-10-01
Quarterly;2003;Q4;;Total POS :  Sales (In Thousand Riyals);5463370.0;Q4 2003;2003-10-01
Quarterly;2004;Q4;;Total POS :  Sales (In Thousand Riyals);6505595.0;Q4 2004;2004-10-01
Quarterly;2005;Q1;;Total POS :  Sales (In Thousand Riyals);6619792.0;Q1 2005;2005-01-01
Quarterly;2005;Q4;;Total POS :  Sales (In Thousand Riyals);7433002.0;Q4 2005;2005-10-01
Quarterly;2007;Q2;;Total POS :  Sales (In Thousand Riyals);10388601.0;Q2 2007;2007-04-01
Quarterly;2007;Q4;;Total POS :  Sales (In Thousand Riyals);9782853.0;Q4 2007;2007-10-01
Quarterly;2008;Q3;;Total POS :  Sales (In Thousand Riyals);14322531.0;Q3 2008;2008-07-01
Quarterly;2009;Q1;;Total POS :  Sales (In Thousand Riyals);13186543.0;Q1 2009;2009-01-01
Quarterly;2010;Q3;;Total POS :  Sales (In Thousand Riyals);18839273.0;Q3 2010;2010-07-01
Quarterly;2012;Q4;;Total POS :  Sales (In Thousand Riyals);31124036.0;Q4 2012;2012-10-01
Quarterly;2015;Q2;;Total POS :  Sales (In Thousand Riyals);44775766.413;Q2 2015;2015-04-01
